price,points,country,province,price_per_country_mean,price_per_country_mean_diff,price_per_country_median,price_per_country_median_diff,price_per_province_mean,price_per_province_mean_diff,price_per_province_median,price_per_province_median_diff,points_per_country_mean,points_per_country_median,points_per_province_mean,points_per_province_median
65.0,95,France,Champagne,40.08589605462504,24.91410394537496,30.0,35.0,87.33810436891983,-22.33810436891983,60.0,5.0,88.80617372577171,89.0,89.86915887850468,89.0
22.0,84,Italy,Tuscany,39.645133428557564,-17.645133428557564,34.5,-12.5,47.502078681100365,-25.502078681100365,35.317716747442105,-13.317716747442105,88.64735945485519,88.0,89.08587257617728,89.0
69.0,91,US,California,36.23818813834525,32.76181186165475,30.0,39.0,38.68686189197347,30.31313810802653,33.0,36.0,88.59421613394215,88.0,88.67250115154307,89.0
15.0,87,Italy,Tuscany,39.645133428557564,-24.645133428557564,34.5,-19.5,47.502078681100365,-32.502078681100365,35.317716747442105,-20.317716747442105,88.64735945485519,88.0,89.08587257617728,89.0
20.0,94,US,Washington,36.23818813834525,-16.23818813834525,30.0,-10.0,32.15239425095908,-12.152394250959077,28.0,-8.0,88.59421613394215,88.0,88.8546511627907,89.0
45.0,92,US,California,36.23818813834525,8.76181186165475,30.0,15.0,38.68686189197347,6.3131381080265285,33.0,12.0,88.59421613394215,88.0,88.67250115154307,89.0
20.0,82,US,California,36.23818813834525,-16.23818813834525,30.0,-10.0,38.68686189197347,-18.68686189197347,33.0,-13.0,88.59421613394215,88.0,88.67250115154307,89.0
26.0,84,US,California,36.23818813834525,-10.23818813834525,30.0,-4.0,38.68686189197347,-12.686861891973471,33.0,-7.0,88.59421613394215,88.0,88.67250115154307,89.0
179.0,92,France,Champagne,40.08589605462504,138.91410394537496,30.0,149.0,87.33810436891983,91.66189563108017,60.0,119.0,88.80617372577171,89.0,89.86915887850468,89.0
15.0,87,Portugal,Douro,31.774150564134438,-16.774150564134438,20.0,-5.0,35.224563539447296,-20.224563539447296,23.0,-8.0,88.33633633633633,88.0,88.82608695652173,88.0
11.0,86,US,California,36.23818813834525,-25.23818813834525,30.0,-19.0,38.68686189197347,-27.68686189197347,33.0,-22.0,88.59421613394215,88.0,88.67250115154307,89.0
30.0,88,France,Alsace,40.08589605462504,-10.085896054625039,30.0,0.0,28.822254858765376,1.1777451412346238,25.0,5.0,88.80617372577171,89.0,89.33939393939394,89.0
11.0,84,Italy,Central Italy,39.645133428557564,-28.645133428557564,34.5,-23.5,28.530746782010524,-17.530746782010524,20.0,-9.0,88.64735945485519,88.0,87.45161290322581,87.0
145.0,94,US,California,36.23818813834525,108.76181186165475,30.0,115.0,38.68686189197347,106.31313810802652,33.0,112.0,88.59421613394215,88.0,88.67250115154307,89.0
22.0,87,Italy,Veneto,39.645133428557564,-17.645133428557564,34.5,-12.5,34.6926756603655,-12.692675660365502,24.5,-2.5,88.64735945485519,88.0,88.13636363636364,88.0
20.0,94,France,Provence,40.08589605462504,-20.08589605462504,30.0,-10.0,25.354167827233397,-5.354167827233397,23.0,-3.0,88.80617372577171,89.0,88.45977011494253,89.0
14.0,88,Germany,Mosel,45.66119640636441,-31.66119640636441,28.0,-14.0,30.627902146318945,-16.627902146318945,27.0,-13.0,89.9136690647482,90.0,90.01428571428572,90.0
75.0,93,US,California,36.23818813834525,38.76181186165475,30.0,45.0,38.68686189197347,36.31313810802653,33.0,42.0,88.59421613394215,88.0,88.67250115154307,89.0
